Cliente,Email,ID Cartão Sócio,Localizador,clubeFavorito,Data da Compra,produto
Shara Folk,shara.folk@globomail.com,SAMS-63553,LOC-SAMS31552,Campinas,13/5/2015,Passa Fácil Member's Mark
Jeanie Nussbaum,jeanie.nussbaum@oi.com.br,SAMS-59760,LOC-SAMS64093,Radial Leste,12/8/2014,Passa Fácil Member's Mark
Jeanie Nussbaum,jeanie.nussbaum@oi.com.br,SAMS-59760,LOC-SAMS64093,Radial Leste,12/8/2014,Nescau Sachê 2.0 800 g
Dione Ference,dione.ference@uol.com.br,SAMS-14210,LOC-SAMS4527,Porto Alegre,7/12/2015,Tratamento Aussie Shine + Strong
Dione Ference,dione.ference@uol.com.br,SAMS-14210,LOC-SAMS4527,Porto Alegre,7/12/2015,Kit Shampoo + Condicionador Dove 750 ml
Kiley Schissler,kiley.schissler@gmail.com,SAMS-3151,LOC-SAMS20887,Ribeirão Preto,10/12/2014,Tira Manchas Member's Mark 2,5 Kg
Kiley Schissler,kiley.schissler@gmail.com,SAMS-3151,LOC-SAMS20887,Ribeirão Preto,10/12/2014,Azeitonas Verdes sem Caroço Raiola 420 g
Kiley Schissler,kiley.schissler@gmail.com,SAMS-3151,LOC-SAMS20887,Ribeirão Preto,10/12/2014,Papel Guardanapo Folha Dupla Mascot
Douglas Ryen,douglas.ryen@yahoo.com.br,SAMS-31379,LOC-SAMS15847,Curitiba - Atuba,2/7/2015,Kit Fisher-Price
Douglas Ryen,douglas.ryen@yahoo.com.br,SAMS-31379,LOC-SAMS15847,Curitiba - Atuba,2/7/2015,Whisky Old Parr 1 L
Douglas Ryen,douglas.ryen@yahoo.com.br,SAMS-31379,LOC-SAMS15847,Curitiba - Atuba,2/7/2015,Papel Guardanapo Folha Dupla Mascot
Douglas Ryen,douglas.ryen@yahoo.com.br,SAMS-31379,LOC-SAMS15847,Curitiba - Atuba,2/7/2015,Sacos para Lixo 50 L ou 100 L Member's Mark
Janey Lathern,janey.lathern@gmail.com,SAMS-42572,LOC-SAMS8711,Águas Claras,2/9/2015,Limpa Vidros Member's Mark
Janey Lathern,janey.lathern@gmail.com,SAMS-42572,LOC-SAMS8711,Águas Claras,2/9/2015,Azeitonas Pretas Azapa Raiola 500 g
Zachariah Hori,zachariah.hori@r7.com,SAMS-13130,LOC-SAMS34158,Natal,21/10/2015,Composto Lácteo Crescimento 1+ Ninho 800 g
Bernie Halma,bernie.halma@folha.com.br,SAMS-48361,LOC-SAMS55169,Radial Leste,17/8/2016,Ração Carne e Cereais Herói 18 Kg
Bernie Halma,bernie.halma@folha.com.br,SAMS-48361,LOC-SAMS55169,Radial Leste,17/8/2016,Shampoo ou Condicionador com Pump Aussie Moist 865 ml
Elnora Amadeo,elnora.amadeo@r7.com,SAMS-32557,LOC-SAMS41453,Guarulhos,1/9/2014,Absorvente com Abas Maxi Proteção Always
Cristen Gale,cristen.gale@bol.com.br,SAMS-43754,LOC-SAMS5783,Radial Leste,3/7/2015,Kit Finish 3 Unidades
Cristen Gale,cristen.gale@bol.com.br,SAMS-43754,LOC-SAMS5783,Radial Leste,3/7/2015,Cereal Froot Loops Kellogg's
Cristen Gale,cristen.gale@bol.com.br,SAMS-43754,LOC-SAMS5783,Radial Leste,3/7/2015,Aparelho de Barbear Gillette Prestobarba 3
Cristen Gale,cristen.gale@bol.com.br,SAMS-43754,LOC-SAMS5783,Radial Leste,3/7/2015,Ração Carne e Vegetais Herói 18 Kg
Cristen Gale,cristen.gale@bol.com.br,SAMS-43754,LOC-SAMS5783,Radial Leste,3/7/2015,Whisky Buchanan's 12 Anos 1 L
Cristen Gale,cristen.gale@bol.com.br,SAMS-43754,LOC-SAMS5783,Radial Leste,3/7/2015,Maionese Heinz
Elmer Baksh,elmer.baksh@uol.com.br,SAMS-26686,LOC-SAMS45735,Guarulhos,13/11/2015,Nescau Sachê 2.0 800 g
Elmer Baksh,elmer.baksh@uol.com.br,SAMS-26686,LOC-SAMS45735,Guarulhos,13/11/2015,Filtro Melitta Aroma Max 103
Dagny Garraway,dagny.garraway@bol.com.br,SAMS-49497,LOC-SAMS2060,Contagem,1/3/2015,Kit Finish 3 Unidades
Dagny Garraway,dagny.garraway@bol.com.br,SAMS-49497,LOC-SAMS2060,Contagem,1/3/2015,Sabonete Líquido Jurassic 750 ml
Dagny Garraway,dagny.garraway@bol.com.br,SAMS-49497,LOC-SAMS2060,Contagem,1/3/2015,Shampoo ou Condicionador TRESemmé 1 L
Dagny Garraway,dagny.garraway@bol.com.br,SAMS-49497,LOC-SAMS2060,Contagem,1/3/2015,Limpa Vidros Member's Mark
Charley Sondag,charley.sondag@ig.com.br,SAMS-17503,LOC-SAMS47943,São Caetano do Sul,10/9/2014,Aparelho de Barbear Gillette Prestobarba 3
Charley Sondag,charley.sondag@ig.com.br,SAMS-17503,LOC-SAMS47943,São Caetano do Sul,10/9/2014,Sabonete Líquido Jurassic 750 ml
Thanh Pires,thanh.pires@globomail.com,SAMS-53275,LOC-SAMS64158,São José dos Campos,8/1/2014,Passa Fácil Member's Mark
Thanh Pires,thanh.pires@globomail.com,SAMS-53275,LOC-SAMS64158,São José dos Campos,8/1/2014,Lava Roupas Dreft
Thanh Pires,thanh.pires@globomail.com,SAMS-53275,LOC-SAMS64158,São José dos Campos,8/1/2014,Azeitonas Verdes sem Caroço Raiola 420 g
Susan Hobday,susan.hobday@oi.com.br,SAMS-61593,LOC-SAMS40238,Niterói,13/5/2015,Cápsulas Nescafé Dolce Gusto
Susan Hobday,susan.hobday@oi.com.br,SAMS-61593,LOC-SAMS40238,Niterói,13/5/2015,Chocolate Kit Kat
Chris Krallis,chris.krallis@oi.com.br,SAMS-43686,LOC-SAMS60412,Tamboré,19/6/2016,Ração Carne e Cereais Herói 18 Kg
Shakia Brester,shakia.brester@yahoo.com.br,SAMS-63651,LOC-SAMS39378,Vitória,25/12/2014,Tratamento Aussie Shine + Strong
Shakia Brester,shakia.brester@yahoo.com.br,SAMS-63651,LOC-SAMS39378,Vitória,25/12/2014,Absorvente com Abas Maxi Proteção Always
Shakia Brester,shakia.brester@yahoo.com.br,SAMS-63651,LOC-SAMS39378,Vitória,25/12/2014,Nescau Cereal Matinal 770 g
Shakia Brester,shakia.brester@yahoo.com.br,SAMS-63651,LOC-SAMS39378,Vitória,25/12/2014,Sacos para Lixo 50 L ou 100 L Member's Mark
Gladis Frady,gladis.frady@bol.com.br,SAMS-45105,LOC-SAMS50279,Bom Retiro,4/11/2014,Tapete Higiênico Sanol Dog
Gladis Frady,gladis.frady@bol.com.br,SAMS-45105,LOC-SAMS50279,Bom Retiro,4/11/2014,Tratamento Aussie Moist 3 Minutos
Gladis Frady,gladis.frady@bol.com.br,SAMS-45105,LOC-SAMS50279,Bom Retiro,4/11/2014,Limpa Vidros Member's Mark
Gladis Frady,gladis.frady@bol.com.br,SAMS-45105,LOC-SAMS50279,Bom Retiro,4/11/2014,Escova Dental Oral-B Complete
Gladis Frady,gladis.frady@bol.com.br,SAMS-45105,LOC-SAMS50279,Bom Retiro,4/11/2014,Tira Manchas Member's Mark 2,5 Kg
Rayford Schwadron,rayford.schwadron@ig.com.br,SAMS-63790,LOC-SAMS38411,Santo Amaro,11/12/2015,Sacos para Lixo 50 L ou 100 L Member's Mark
Rayford Schwadron,rayford.schwadron@ig.com.br,SAMS-63790,LOC-SAMS38411,Santo Amaro,11/12/2015,Azeitonas Pretas Azapa Raiola 500 g
Rayford Schwadron,rayford.schwadron@ig.com.br,SAMS-63790,LOC-SAMS38411,Santo Amaro,11/12/2015,Shampoo Pantene 1 L
Raguel Keywan,raguel.keywan@yahoo.com.br,SAMS-36095,LOC-SAMS28556,São Caetano do Sul,18/5/2016,Tratamento Aussie Shine + Strong
Raguel Keywan,raguel.keywan@yahoo.com.br,SAMS-36095,LOC-SAMS28556,São Caetano do Sul,18/5/2016,Papel Guardanapo Folha Dupla Mascot
Raguel Keywan,raguel.keywan@yahoo.com.br,SAMS-36095,LOC-SAMS28556,São Caetano do Sul,18/5/2016,Azeitonas Verdes sem Caroço Raiola 420 g
Teena Yrigollen,teena.yrigollen@ig.com.br,SAMS-38189,LOC-SAMS62670,Curitiba - Atuba,30/11/2015,Sucrilhos Kellogg's
Dion Guereca,dion.guereca@r7.com,SAMS-7294,LOC-SAMS13247,Natal,29/3/2015,Molho Barbecue Heinz
Dion Guereca,dion.guereca@r7.com,SAMS-7294,LOC-SAMS13247,Natal,29/3/2015,Kit Fisher-Price
Dion Guereca,dion.guereca@r7.com,SAMS-7294,LOC-SAMS13247,Natal,29/3/2015,Kit Oral-B Stages
Dion Guereca,dion.guereca@r7.com,SAMS-7294,LOC-SAMS13247,Natal,29/3/2015,Tomate Inteiro Pelado Italiano Raiola
Dion Guereca,dion.guereca@r7.com,SAMS-7294,LOC-SAMS13247,Natal,29/3/2015,Kit Shampoo + Condicionador Dove 750 ml
Janee Holgate,janee.holgate@bol.com.br,SAMS-8008,LOC-SAMS15952,Niterói,15/5/2015,Alimento para Cães Adultos Ultima Sachê
Janee Holgate,janee.holgate@bol.com.br,SAMS-8008,LOC-SAMS15952,Niterói,15/5/2015,Papel Toalha Kitchen Jumbo
Janee Holgate,janee.holgate@bol.com.br,SAMS-8008,LOC-SAMS15952,Niterói,15/5/2015,Nescau Cereal Matinal 770 g
Janee Holgate,janee.holgate@bol.com.br,SAMS-8008,LOC-SAMS15952,Niterói,15/5/2015,Absorvente com Abas Maxi Proteção Always
Sabra Isais,sabra.isais@ig.com.br,SAMS-43020,LOC-SAMS29756,Recife,20/9/2016,Kit Shampoo + Condicionador Dove 750 ml
Sabra Isais,sabra.isais@ig.com.br,SAMS-43020,LOC-SAMS29756,Recife,20/9/2016,Maionese Heinz
Sabra Isais,sabra.isais@ig.com.br,SAMS-43020,LOC-SAMS29756,Recife,20/9/2016,Shampoo ou Condicionador Aussie Miracle 7 em 1 778 ml
Sabra Isais,sabra.isais@ig.com.br,SAMS-43020,LOC-SAMS29756,Recife,20/9/2016,Limpa Vidros Member's Mark
Sabra Isais,sabra.isais@ig.com.br,SAMS-43020,LOC-SAMS29756,Recife,20/9/2016,Sucrilhos Kellogg's
Gerard Lovensheimer,gerard.lovensheimer@hotmail.com,SAMS-8632,LOC-SAMS16840,Contagem,19/11/2015,Kit Oral-B Stages
Gerard Lovensheimer,gerard.lovensheimer@hotmail.com,SAMS-8632,LOC-SAMS16840,Contagem,19/11/2015,Fralda Pampers Confort Sec
Maryellen Ofsak,maryellen.ofsak@pop.com.br,SAMS-4257,LOC-SAMS28270,Goiânia,8/7/2014,Nescau Cereal Matinal 770 g
Maryellen Ofsak,maryellen.ofsak@pop.com.br,SAMS-4257,LOC-SAMS28270,Goiânia,8/7/2014,Sabonete Líquido Jurassic 750 ml
Maryellen Ofsak,maryellen.ofsak@pop.com.br,SAMS-4257,LOC-SAMS28270,Goiânia,8/7/2014,Sabonete Líquido Member's Mark 980 ml
Maryellen Ofsak,maryellen.ofsak@pop.com.br,SAMS-4257,LOC-SAMS28270,Goiânia,8/7/2014,Tratamento Aussie Shine + Strong
Maryellen Ofsak,maryellen.ofsak@pop.com.br,SAMS-4257,LOC-SAMS28270,Goiânia,8/7/2014,Tapete Higiênico Sanol Dog
Oralia Summerville,oralia.summerville@ig.com.br,SAMS-37642,LOC-SAMS55003,Brasília,11/11/2016,Cápsulas Nescafé Dolce Gusto
Oralia Summerville,oralia.summerville@ig.com.br,SAMS-37642,LOC-SAMS55003,Brasília,11/11/2016,Whisky Old Parr 1 L
Latrice Wisse,latrice.wisse@zipmail.com.br,SAMS-8035,LOC-SAMS3815,Vitória,27/9/2015,Sacos para Lixo 50 L ou 100 L Member's Mark
Latrice Wisse,latrice.wisse@zipmail.com.br,SAMS-8035,LOC-SAMS3815,Vitória,27/9/2015,Shampoo ou Condicionador Aussie Miracle 7 em 1 778 ml
Latrice Wisse,latrice.wisse@zipmail.com.br,SAMS-8035,LOC-SAMS3815,Vitória,27/9/2015,Papel Guardanapo Folha Dupla Mascot
Latrice Wisse,latrice.wisse@zipmail.com.br,SAMS-8035,LOC-SAMS3815,Vitória,27/9/2015,Papel Higiênico Personal Decor
Faviola Kienzle,faviola.kienzle@yahoo.com.br,SAMS-33185,LOC-SAMS6355,São Caetano do Sul,3/11/2015,Whisky Buchanan's 12 Anos 1 L
Faviola Kienzle,faviola.kienzle@yahoo.com.br,SAMS-33185,LOC-SAMS6355,São Caetano do Sul,3/11/2015,Papel Guardanapo Folha Dupla Mascot
Faviola Kienzle,faviola.kienzle@yahoo.com.br,SAMS-33185,LOC-SAMS6355,São Caetano do Sul,3/11/2015,Composto Lácteo Crescimento 1+ Ninho 800 g
Rogelio Luse,rogelio.luse@ig.com.br,SAMS-4255,LOC-SAMS46347,Curitiba - Atuba,20/7/2014,Kit Oral-B Stages
Rogelio Luse,rogelio.luse@ig.com.br,SAMS-4255,LOC-SAMS46347,Curitiba - Atuba,20/7/2014,Molho Barbecue Heinz
Rogelio Luse,rogelio.luse@ig.com.br,SAMS-4255,LOC-SAMS46347,Curitiba - Atuba,20/7/2014,Lava Roupas Dreft
Tyler Letcher,tyler.letcher@oi.com.br,SAMS-39883,LOC-SAMS36097,Tamboré,27/2/2015,Whisky Buchanan's 12 Anos 1 L
Tyler Letcher,tyler.letcher@oi.com.br,SAMS-39883,LOC-SAMS36097,Tamboré,27/2/2015,Filtro Melitta Aroma Max 103
Coral Satcher,coral.satcher@gmail.com,SAMS-45091,LOC-SAMS55902,Porto Alegre,19/8/2014,Eliminador de Odores Sanol 5 L
Laquita Messina,laquita.messina@folha.com.br,SAMS-53799,LOC-SAMS53400,Contagem,24/8/2015,Tapete Higiênico Sanol Dog
Laquita Messina,laquita.messina@folha.com.br,SAMS-53799,LOC-SAMS53400,Contagem,24/8/2015,Kit Oral-B Stages
Laquita Messina,laquita.messina@folha.com.br,SAMS-53799,LOC-SAMS53400,Contagem,24/8/2015,Kit Fisher-Price
Noriko Schwemmer,noriko.schwemmer@globomail.com,SAMS-40516,LOC-SAMS3846,Guarulhos,29/11/2014,Novi a Mop Twister
Noriko Schwemmer,noriko.schwemmer@globomail.com,SAMS-40516,LOC-SAMS3846,Guarulhos,29/11/2014,Nescau Sachê 2.0 800 g
Eugene Brookins,eugene.brookins@gmail.com,SAMS-56625,LOC-SAMS61102,Curitiba - Barigui,14/12/2014,Tratamento Aussie Shine + Strong
Eugene Brookins,eugene.brookins@gmail.com,SAMS-56625,LOC-SAMS61102,Curitiba - Barigui,14/12/2014,Sabonete Líquido Jurassic 750 ml
Bobbye Winick,bobbye.winick@ig.com.br,SAMS-347,LOC-SAMS45785,Recife,26/2/2015,Nescau Cereal Matinal 770 g
Bobbye Winick,bobbye.winick@ig.com.br,SAMS-347,LOC-SAMS45785,Recife,26/2/2015,Maionese Heinz
Bobbye Winick,bobbye.winick@ig.com.br,SAMS-347,LOC-SAMS45785,Recife,26/2/2015,Ração Carne e Vegetais Herói 18 Kg
Bobbye Winick,bobbye.winick@ig.com.br,SAMS-347,LOC-SAMS45785,Recife,26/2/2015,Tratamento Aussie Moist 3 Minutos
Earleen Scifres,earleen.scifres@oi.com.br,SAMS-8152,LOC-SAMS52623,Radial Leste,27/3/2014,Sacos para Lixo 50 L ou 100 L Member's Mark
Earleen Scifres,earleen.scifres@oi.com.br,SAMS-8152,LOC-SAMS52623,Radial Leste,27/3/2014,Amaciante Concentrado Downy 3,96 L
Earleen Scifres,earleen.scifres@oi.com.br,SAMS-8152,LOC-SAMS52623,Radial Leste,27/3/2014,Nescau Sachê 2.0 800 g
Earleen Scifres,earleen.scifres@oi.com.br,SAMS-8152,LOC-SAMS52623,Radial Leste,27/3/2014,Whisky Johnnie Walker Green Label 750 ml
Earleen Scifres,earleen.scifres@oi.com.br,SAMS-8152,LOC-SAMS52623,Radial Leste,27/3/2014,Alimento para Cães Adultos Ultima Sachê
Earleen Scifres,earleen.scifres@oi.com.br,SAMS-8152,LOC-SAMS52623,Radial Leste,27/3/2014,Composto Lácteo Crescimento 1+ Ninho 800 g
Earleen Scifres,earleen.scifres@oi.com.br,SAMS-8152,LOC-SAMS52623,Radial Leste,27/3/2014,Tomate Inteiro Pelado Italiano Raiola
Rena Batterson,rena.batterson@r7.com,SAMS-36357,LOC-SAMS54737,Águas Claras,14/1/2014,Amaciante Aconchego Ypê 5 L
Rena Batterson,rena.batterson@r7.com,SAMS-36357,LOC-SAMS54737,Águas Claras,14/1/2014,Nescau Sachê 2.0 800 g
Rena Batterson,rena.batterson@r7.com,SAMS-36357,LOC-SAMS54737,Águas Claras,14/1/2014,Alimento para Cães Adultos Ultima Sachê
Rena Batterson,rena.batterson@r7.com,SAMS-36357,LOC-SAMS54737,Águas Claras,14/1/2014,Ração Carne e Cereais Herói 18 Kg
Khalilah Dickerman,khalilah.dickerman@hotmail.com,SAMS-28175,LOC-SAMS24760,Radial Leste,21/12/2015,Tomate Inteiro Pelado Italiano Raiola
Khalilah Dickerman,khalilah.dickerman@hotmail.com,SAMS-28175,LOC-SAMS24760,Radial Leste,21/12/2015,Tomate Inteiro Pelado Italiano Raiola
Khalilah Dickerman,khalilah.dickerman@hotmail.com,SAMS-28175,LOC-SAMS24760,Radial Leste,21/12/2015,Eliminador de Odores Sanol 5 L
Khalilah Dickerman,khalilah.dickerman@hotmail.com,SAMS-28175,LOC-SAMS24760,Radial Leste,21/12/2015,Papel Higiênico Personal Decor
Khalilah Dickerman,khalilah.dickerman@hotmail.com,SAMS-28175,LOC-SAMS24760,Radial Leste,21/12/2015,Shampoo ou Condicionador Aussie Miracle 7 em 1 778 ml
Khalilah Dickerman,khalilah.dickerman@hotmail.com,SAMS-28175,LOC-SAMS24760,Radial Leste,21/12/2015,Ração Carne e Vegetais Herói 18 Kg
Sarai Lasso,sarai.lasso@gmail.com,SAMS-47214,LOC-SAMS35241,Campinas,4/1/2016,Rolo Adesivo Scotch-Brite
Cassy Alvalle,cassy.alvalle@gmail.com,SAMS-61846,LOC-SAMS49836,Águas Claras,14/8/2014,Sabonete Líquido Member's Mark 980 ml
Kristian Niedermeier,kristian.niedermeier@zipmail.com.br,SAMS-57480,LOC-SAMS2218,Curitiba - Atuba,11/8/2015,Kit Shampoo + Condicionador Dove 750 ml
Kaley Lahti,kaley.lahti@globomail.com,SAMS-19383,LOC-SAMS8615,São José dos Campos,18/9/2015,Papel Toalha Kitchen Jumbo
Kaley Lahti,kaley.lahti@globomail.com,SAMS-19383,LOC-SAMS8615,São José dos Campos,18/9/2015,Azeitonas Pretas Azapa Raiola 500 g
Kaley Lahti,kaley.lahti@globomail.com,SAMS-19383,LOC-SAMS8615,São José dos Campos,18/9/2015,Novi a Mop Twister
Kaley Lahti,kaley.lahti@globomail.com,SAMS-19383,LOC-SAMS8615,São José dos Campos,18/9/2015,Freezer Roll 2 L
Shanda Mongomery,shanda.mongomery@uol.com.br,SAMS-58217,LOC-SAMS25688,Guarulhos,14/7/2014,Eliminador de Odores Sanol 5 L
Shanda Mongomery,shanda.mongomery@uol.com.br,SAMS-58217,LOC-SAMS25688,Guarulhos,14/7/2014,Kit Fisher-Price
Vaughn Higbee,vaughn.higbee@gmail.com,SAMS-37111,LOC-SAMS20622,Natal,23/1/2016,Freezer Roll 3 L
Vaughn Higbee,vaughn.higbee@gmail.com,SAMS-37111,LOC-SAMS20622,Natal,23/1/2016,Nescau Cereal Matinal 770 g
Vaughn Higbee,vaughn.higbee@gmail.com,SAMS-37111,LOC-SAMS20622,Natal,23/1/2016,Amaciante Concentrado Downy 3,96 L
Fae Granthan,fae.granthan@globomail.com,SAMS-20476,LOC-SAMS36683,Campinas,12/2/2015,Aparelho de Barbear Gillette Prestobarba 3
Fae Granthan,fae.granthan@globomail.com,SAMS-20476,LOC-SAMS36683,Campinas,12/2/2015,Limpa Vidros Member's Mark
Addie Laesser,addie.laesser@ig.com.br,SAMS-929,LOC-SAMS5629,Goiânia,13/12/2014,Kit Shampoo + Condicionador Dove 750 ml
Addie Laesser,addie.laesser@ig.com.br,SAMS-929,LOC-SAMS5629,Goiânia,13/12/2014,Tira Manchas Member's Mark 2,5 Kg
Britteny Hoggard,britteny.hoggard@folha.com.br,SAMS-63479,LOC-SAMS28317,Bom Retiro,24/9/2015,Kit Oral-B Stages
Britteny Hoggard,britteny.hoggard@folha.com.br,SAMS-63479,LOC-SAMS28317,Bom Retiro,24/9/2015,Shampoo ou Condicionador Aussie Miracle 7 em 1 778 ml
Britteny Hoggard,britteny.hoggard@folha.com.br,SAMS-63479,LOC-SAMS28317,Bom Retiro,24/9/2015,Sacos para Lixo 15 L ou 30 L Member's Mark
Kimberlie Mcmenimen,kimberlie.mcmenimen@ig.com.br,SAMS-37775,LOC-SAMS41891,Brasília,3/9/2015,Tratamento Aussie Moist 3 Minutos
Kimberlie Mcmenimen,kimberlie.mcmenimen@ig.com.br,SAMS-37775,LOC-SAMS41891,Brasília,3/9/2015,Papel Higiênico Personal Decor
Adrian Stickley,adrian.stickley@zipmail.com.br,SAMS-54040,LOC-SAMS35415,Recife,17/4/2015,Alimento para Cães Adultos Ultima Sachê
Adrian Stickley,adrian.stickley@zipmail.com.br,SAMS-54040,LOC-SAMS35415,Recife,17/4/2015,Eliminador de Odores Sanol 5 L
Janett Rainbolt,janett.rainbolt@yahoo.com.br,SAMS-58633,LOC-SAMS28595,Maceió,25/10/2016,Molho Barbecue Heinz
Janett Rainbolt,janett.rainbolt@yahoo.com.br,SAMS-58633,LOC-SAMS28595,Maceió,25/10/2016,Whisky Old Parr 1 L
Janett Rainbolt,janett.rainbolt@yahoo.com.br,SAMS-58633,LOC-SAMS28595,Maceió,25/10/2016,Sabão Líquido Roma Coco 2 L
Janett Rainbolt,janett.rainbolt@yahoo.com.br,SAMS-58633,LOC-SAMS28595,Maceió,25/10/2016,Nescau Cereal Matinal 770 g
Janett Rainbolt,janett.rainbolt@yahoo.com.br,SAMS-58633,LOC-SAMS28595,Maceió,25/10/2016,Sacos para Lixo Reforçado Dover Roll 100 L
Janett Rainbolt,janett.rainbolt@yahoo.com.br,SAMS-58633,LOC-SAMS28595,Maceió,25/10/2016,Amaciante Concentrado Downy 3,96 L
Janett Rainbolt,janett.rainbolt@yahoo.com.br,SAMS-58633,LOC-SAMS28595,Maceió,25/10/2016,Composto Lácteo Crescimento 1+ Ninho 800 g
Providencia Bernhardt,providencia.bernhardt@yahoo.com.br,SAMS-54714,LOC-SAMS51686,Maceió,9/9/2015,Alimento para Cães Adultos Ultima Sachê
Providencia Bernhardt,providencia.bernhardt@yahoo.com.br,SAMS-54714,LOC-SAMS51686,Maceió,9/9/2015,Novi a Mop Twister
Providencia Bernhardt,providencia.bernhardt@yahoo.com.br,SAMS-54714,LOC-SAMS51686,Maceió,9/9/2015,Papel Guardanapo Folha Dupla Mascot
Jessia Overland,jessia.overland@r7.com,SAMS-49290,LOC-SAMS48224,Campinas,13/8/2015,Amaciante Concentrado Downy 3,96 L
Jessia Overland,jessia.overland@r7.com,SAMS-49290,LOC-SAMS48224,Campinas,13/8/2015,Ração Carne e Cereais Herói 18 Kg
