Cliente,Perfil,Tipo,Email,ID Cartão Sócio,Localizador,clubeFavorito,Ultima Compra,Gênero,Faixa Etária,Familia,Ticket Médio
Masako Wieto,00e410000016NwWAAU,PJ,masako.wieto@hotmail.com,SAMS-10417,LOC-SAMS40254,Niterói,fev,F,de 30 até 40 anos,Higiene,781
Allene Hugee,00e410000016NxGAAU,PF,allene.hugee@r7.com,SAMS-48390,LOC-SAMS62665,Águas Claras,out,F,acima de 50 anos,Matinais,461
Loan Wahs,00e410000016NwjAAE,PJ,loan.wahs@oi.com.br,SAMS-18482,LOC-SAMS44093,Tamboré,ago,F,de 30 até 40 anos,Higiene,599
Marilou Kohn,00e410000016NxGAAU,PF,marilou.kohn@pop.com.br,SAMS-62772,LOC-SAMS44619,Maceió,set,M,de 40 até 50 anos,Papelaria,784
Veda Feraco,00e410000016NxGAAU,PF,veda.feraco@oi.com.br,SAMS-58086,LOC-SAMS7424,Tamboré,ago,M,de 40 até 50 anos,Molhos e Temperos,759
Mora Creeley,00e410000016NwjAAE,PF,mora.creeley@ig.com.br,SAMS-58558,LOC-SAMS32624,Vitória,jun,F,acima de 50 anos,Infantil,601
Birgit Gravitt,00e410000016NwWAAU,PF,birgit.gravitt@uol.com.br,SAMS-63864,LOC-SAMS31245,São José dos Campos,abr,F,de 40 até 50 anos,Molhos e Temperos,491
Lizeth Paulas,00e410000016NwWAAU,PF,lizeth.paulas@oi.com.br,SAMS-10618,LOC-SAMS44351,São Bernardo do Campo,ago,F,de 40 até 50 anos,Molhos e Temperos,719
Katina Batchelder,00e410000016NxGAAU,PF,katina.batchelder@r7.com,SAMS-52885,LOC-SAMS11627,Campinas,out,M,de 40 até 50 anos,Papelaria,713
Tran Vanskike,00e410000016NwjAAE,PJ,tran.vanskike@oi.com.br,SAMS-3743,LOC-SAMS21145,São Bernardo do Campo,ago,F,de 30 até 40 anos,Higiene,639
Corene Colafrancesco,00e410000016NwWAAU,PF,corene.colafrancesco@r7.com,SAMS-2785,LOC-SAMS21707,Guarulhos,out,F,acima de 50 anos,Matinais,753
Richard Sule,00e410000016Nx8AAE,PJ,richard.sule@uol.com.br,SAMS-3517,LOC-SAMS53439,Ribeirão Preto,abr,M,Abaixo de 30 anos,Descartáveis,591
Zada Smyntek,00e410000016Nx8AAE,PF,zada.smyntek@globomail.com,SAMS-164,LOC-SAMS33884,Campinas,jul,F,de 40 até 50 anos,Molhos e Temperos,614
Bennett Primo,00e410000016Nx8AAE,PJ,bennett.primo@gmail.com,SAMS-45634,LOC-SAMS27472,Guarulhos,jan,F,de 30 até 40 anos,Higiene,596
Iola Tower,00e410000016NxGAAU,PJ,iola.tower@oi.com.br,SAMS-12794,LOC-SAMS21813,Niterói,ago,M,Abaixo de 30 anos,Limpeza,443
Leanne Hulzing,00e410000016NxGAAU,PF,leanne.hulzing@oi.com.br,SAMS-26992,LOC-SAMS58097,Fortaleza,ago,F,de 40 até 50 anos,Papelaria,567
Maris Lempicki,00e410000016NwjAAE,PF,maris.lempicki@oi.com.br,SAMS-50108,LOC-SAMS50139,Niterói,ago,F,acima de 50 anos,Matinais,611
Ryann Hassell,00e410000016Nx8AAE,PJ,ryann.hassell@uol.com.br,SAMS-59571,LOC-SAMS31062,São José dos Campos,abr,M,de 30 até 40 anos,Higiene,671
Jimmy Arabajian,00e410000016NwjAAE,PJ,jimmy.arabajian@gmail.com,SAMS-22702,LOC-SAMS16162,Ribeirão Preto,jan,F,de 30 até 40 anos,Conservas,548
Sherrie Lychwala,00e410000016NxGAAU,PJ,sherrie.lychwala@oi.com.br,SAMS-26983,LOC-SAMS52015,Fortaleza,ago,M,Abaixo de 30 anos,Descartáveis,707
Detra Mascaro,00e410000016NxGAAU,PJ,detra.mascaro@r7.com,SAMS-24651,LOC-SAMS16485,Natal,out,F,Abaixo de 30 anos,Limpeza,785
Delphine Showes,00e410000016NxGAAU,PF,delphine.showes@pop.com.br,SAMS-39141,LOC-SAMS52799,Vitória,set,M,acima de 50 anos,Matinais,424
Magali Biddinger,00e410000016NwWAAU,PJ,magali.biddinger@pop.com.br,SAMS-20918,LOC-SAMS9665,Vitória,set,F,de 30 até 40 anos,Higiene,608
Maryanne Ginn,00e410000016NxGAAU,PJ,maryanne.ginn@globomail.com,SAMS-5550,LOC-SAMS10667,Campinas,jul,M,Abaixo de 30 anos,Limpeza,630
Evangeline Thiem,00e410000016Nx8AAE,PJ,evangeline.thiem@zipmail.com.br,SAMS-64996,LOC-SAMS39263,Maceió,dez,F,de 30 até 40 anos,Higiene,531
Mellissa Hennick,00e410000016NwjAAE,PJ,mellissa.hennick@oi.com.br,SAMS-20547,LOC-SAMS1790,Salvador,ago,F,de 30 até 40 anos,Higiene,543
Susie Vogtlin,00e410000016Nx8AAE,PJ,susie.vogtlin@yahoo.com.br,SAMS-61346,LOC-SAMS33979,Brasília,mar,M,Abaixo de 30 anos,Limpeza,622
Matthew Payan,00e410000016NxGAAU,PJ,matthew.payan@folha.com.br,SAMS-19357,LOC-SAMS52468,Linha Amarela,nov,M,de 30 até 40 anos,Higiene,430
Kasha Bluming,00e410000016NwjAAE,PF,kasha.bluming@gmail.com,SAMS-36876,LOC-SAMS5048,Natal,jan,M,de 40 até 50 anos,Papelaria,736
Shantelle Wucherer,00e410000016Nx8AAE,PJ,shantelle.wucherer@ig.com.br,SAMS-17305,LOC-SAMS61552,Recife,jun,M,de 30 até 40 anos,Conservas,761
Hui Falker,00e410000016NwjAAE,PF,hui.falker@bol.com.br,SAMS-566,LOC-SAMS46002,Linha Amarela,mai,F,de 40 até 50 anos,Molhos e Temperos,424
Deetta Moers,00e410000016Nx8AAE,PF,deetta.moers@pop.com.br,SAMS-42681,LOC-SAMS55794,Santo Amaro,set,F,acima de 50 anos,Infantil,756
Britt Balazs,00e410000016NwjAAE,PJ,britt.balazs@oi.com.br,SAMS-45282,LOC-SAMS23198,Fortaleza,ago,F,Abaixo de 30 anos,Descartáveis,503
Sonny Sarnes,00e410000016Nx8AAE,PF,sonny.sarnes@pop.com.br,SAMS-58927,LOC-SAMS18601,Vitória,set,M,de 40 até 50 anos,Molhos e Temperos,628
Keenan Cuzick,00e410000016NwWAAU,PF,keenan.cuzick@oi.com.br,SAMS-6228,LOC-SAMS61364,Niterói,ago,F,de 40 até 50 anos,Papelaria,583
Melynda Fonville,00e410000016NxGAAU,PJ,melynda.fonville@globomail.com,SAMS-44685,LOC-SAMS4628,Porto Alegre,jul,F,de 30 até 40 anos,Higiene,674
Randee Fistler,00e410000016NwjAAE,PJ,randee.fistler@globomail.com,SAMS-45275,LOC-SAMS25226,Guarulhos,jul,M,Abaixo de 30 anos,Descartáveis,570
Claude Pratka,00e410000016Nx8AAE,PF,claude.pratka@pop.com.br,SAMS-2684,LOC-SAMS9139,São Caetano do Sul,set,M,de 40 até 50 anos,Papelaria,764
Elliott Stickler,00e410000016NwWAAU,PF,elliott.stickler@r7.com,SAMS-62389,LOC-SAMS45152,Curitiba - Barigui,out,M,de 40 até 50 anos,Papelaria,693
Stacy Free,00e410000016NwWAAU,PJ,stacy.free@bol.com.br,SAMS-24371,LOC-SAMS64159,Radial Leste,mai,M,Abaixo de 30 anos,Descartáveis,400
An Tak,00e410000016NxGAAU,PF,an.tak@ig.com.br,SAMS-64360,LOC-SAMS9955,Maceió,jun,M,de 40 até 50 anos,Molhos e Temperos,681
Tristan Koonz,00e410000016NwjAAE,PJ,tristan.koonz@oi.com.br,SAMS-39304,LOC-SAMS58328,Fortaleza,ago,M,Abaixo de 30 anos,Descartáveis,599
Glen Arcoraci,00e410000016Nx8AAE,PJ,glen.arcoraci@gmail.com,SAMS-24005,LOC-SAMS40078,Ribeirão Preto,jan,F,Abaixo de 30 anos,Limpeza,656
Alisha Craighead,00e410000016NwWAAU,PJ,alisha.craighead@oi.com.br,SAMS-13814,LOC-SAMS17184,Bom Retiro,ago,F,Abaixo de 30 anos,Limpeza,471
Katelin Nussbaum,00e410000016NwjAAE,PJ,katelin.nussbaum@oi.com.br,SAMS-15583,LOC-SAMS55971,Tamboré,ago,M,de 30 até 40 anos,Higiene,587
Dacia Gleich,00e410000016NxGAAU,PF,dacia.gleich@globomail.com,SAMS-7117,LOC-SAMS25193,Porto Alegre,jul,F,acima de 50 anos,Infantil,506
Reggie Caradine,00e410000016Nx8AAE,PF,reggie.caradine@bol.com.br,SAMS-33798,LOC-SAMS46209,Tamboré,mai,M,de 40 até 50 anos,Molhos e Temperos,680
Mitchell Mastenbrook,00e410000016NwWAAU,PF,mitchell.mastenbrook@folha.com.br,SAMS-54046,LOC-SAMS10239,Linha Amarela,nov,M,de 40 até 50 anos,Molhos e Temperos,518
Jettie Redshaw,00e410000016Nx8AAE,PF,jettie.redshaw@zipmail.com.br,SAMS-30401,LOC-SAMS59521,Maceió,dez,F,de 40 até 50 anos,Papelaria,491
Mauricio Kibbe,00e410000016NxGAAU,PJ,mauricio.kibbe@zipmail.com.br,SAMS-4030,LOC-SAMS5948,Goiânia,dez,F,de 30 até 40 anos,Conservas,655
Estell Osei,00e410000016Nx8AAE,PF,estell.osei@yahoo.com.br,SAMS-11485,LOC-SAMS11691,São Caetano do Sul,mar,F,acima de 50 anos,Infantil,534
Thu Stonerock,00e410000016NwjAAE,PF,thu.stonerock@oi.com.br,SAMS-32123,LOC-SAMS45489,Fortaleza,ago,M,acima de 50 anos,Matinais,627
Santos Siever,00e410000016NwWAAU,PJ,santos.siever@r7.com,SAMS-58378,LOC-SAMS18255,Campinas,out,M,Abaixo de 30 anos,Limpeza,749
Jessie Marentes,00e410000016NxGAAU,PF,jessie.marentes@folha.com.br,SAMS-24597,LOC-SAMS16954,Contagem,nov,F,acima de 50 anos,Infantil,718
Berry Aceveda,00e410000016NwjAAE,PF,berry.aceveda@pop.com.br,SAMS-29738,LOC-SAMS34373,Recife,set,F,de 40 até 50 anos,Molhos e Temperos,648
Patrice Dicola,00e410000016NxGAAU,PF,patrice.dicola@hotmail.com,SAMS-25593,LOC-SAMS38836,Radial Leste,fev,M,acima de 50 anos,Infantil,489
Han Riggings,00e410000016Nx8AAE,PJ,han.riggings@zipmail.com.br,SAMS-47069,LOC-SAMS13145,Osasco,dez,M,Abaixo de 30 anos,Descartáveis,747
Daysi Klafehn,00e410000016NxGAAU,PF,daysi.klafehn@oi.com.br,SAMS-46431,LOC-SAMS54116,Fortaleza,ago,F,acima de 50 anos,Infantil,487
Neal Mathison,00e410000016NxGAAU,PJ,neal.mathison@r7.com,SAMS-53727,LOC-SAMS34074,Ribeirão Preto,out,M,Abaixo de 30 anos,Limpeza,637
Joane Pisciotti,00e410000016NwjAAE,PF,joane.pisciotti@zipmail.com.br,SAMS-56616,LOC-SAMS47593,Recife,dez,F,de 40 até 50 anos,Papelaria,511
Arletha Narr,00e410000016NxGAAU,PJ,arletha.narr@r7.com,SAMS-56669,LOC-SAMS19870,Porto Alegre,out,M,Abaixo de 30 anos,Descartáveis,689
Eugena Harrigan,00e410000016NwjAAE,PJ,eugena.harrigan@folha.com.br,SAMS-23563,LOC-SAMS35561,Linha Amarela,nov,F,Abaixo de 30 anos,Descartáveis,450
Marquitta Bereznak,00e410000016NxGAAU,PF,marquitta.bereznak@folha.com.br,SAMS-29516,LOC-SAMS11242,São Bernardo do Campo,nov,F,acima de 50 anos,Infantil,762
Victor Ringquist,00e410000016Nx8AAE,PJ,victor.ringquist@globomail.com,SAMS-39989,LOC-SAMS37374,Natal,jul,F,Abaixo de 30 anos,Limpeza,474
Rufina Rough,00e410000016NwjAAE,PF,rufina.rough@r7.com,SAMS-61545,LOC-SAMS30212,Campinas,out,M,de 40 até 50 anos,Molhos e Temperos,465
Nenita Gettel,00e410000016Nx8AAE,PF,nenita.gettel@folha.com.br,SAMS-35271,LOC-SAMS3055,São Bernardo do Campo,nov,F,de 40 até 50 anos,Papelaria,590
Priscila Beren,00e410000016Nx8AAE,PF,priscila.beren@yahoo.com.br,SAMS-27251,LOC-SAMS6426,São Caetano do Sul,mar,M,de 40 até 50 anos,Molhos e Temperos,742
Daniele Darville,00e410000016NwjAAE,PJ,daniele.darville@ig.com.br,SAMS-24190,LOC-SAMS45448,Maceió,jun,F,de 30 até 40 anos,Conservas,793
Marcell Boane,00e410000016NwjAAE,PJ,marcell.boane@gmail.com,SAMS-43853,LOC-SAMS60821,São José dos Campos,jan,M,de 30 até 40 anos,Conservas,772
Amalia Custodio,00e410000016NwjAAE,PF,amalia.custodio@globomail.com,SAMS-29359,LOC-SAMS25072,Guarulhos,jul,F,de 40 até 50 anos,Molhos e Temperos,534
Elvie Salowitz,00e410000016NwjAAE,PJ,elvie.salowitz@gmail.com,SAMS-25976,LOC-SAMS28494,Curitiba - Barigui,jan,F,de 30 até 40 anos,Higiene,456
Ethelyn Greenleaf,00e410000016NwWAAU,PF,ethelyn.greenleaf@yahoo.com.br,SAMS-29828,LOC-SAMS55497,Goiânia,mar,F,de 40 até 50 anos,Papelaria,574
Abel Vener,00e410000016NwWAAU,PF,abel.vener@folha.com.br,SAMS-65076,LOC-SAMS27173,Bom Retiro,nov,M,acima de 50 anos,Infantil,638
Samara Kritikos,00e410000016NwjAAE,PJ,samara.kritikos@yahoo.com.br,SAMS-55368,LOC-SAMS16795,Santo Amaro,mar,M,de 30 até 40 anos,Higiene,514
Billi Mensi,00e410000016Nx8AAE,PF,billi.mensi@uol.com.br,SAMS-687,LOC-SAMS6114,São José dos Campos,abr,M,de 40 até 50 anos,Papelaria,619
Danita Kampen,00e410000016NwWAAU,PJ,danita.kampen@gmail.com,SAMS-48289,LOC-SAMS60698,Águas Claras,jan,M,Abaixo de 30 anos,Descartáveis,620
Pasty Pestronk,00e410000016NwWAAU,PF,pasty.pestronk@hotmail.com,SAMS-61919,LOC-SAMS17596,Niterói,fev,F,de 40 até 50 anos,Papelaria,413
Joycelyn Rushman,00e410000016NxGAAU,PJ,joycelyn.rushman@ig.com.br,SAMS-2596,LOC-SAMS39736,São Caetano do Sul,jun,F,Abaixo de 30 anos,Descartáveis,601
Billie Welde,00e410000016NxGAAU,PJ,billie.welde@bol.com.br,SAMS-60571,LOC-SAMS5908,Linha Amarela,mai,F,de 30 até 40 anos,Higiene,780
Jaclyn Gilpatrick,00e410000016Nx8AAE,PF,jaclyn.gilpatrick@zipmail.com.br,SAMS-44422,LOC-SAMS5394,Curitiba - Atuba,dez,F,de 40 até 50 anos,Molhos e Temperos,587
Sheldon Erkela,00e410000016NxGAAU,PF,sheldon.erkela@ig.com.br,SAMS-55181,LOC-SAMS53329,Recife,jun,F,de 40 até 50 anos,Molhos e Temperos,493
Kimberli Cornford,00e410000016Nx8AAE,PJ,kimberli.cornford@oi.com.br,SAMS-12625,LOC-SAMS26073,Fortaleza,ago,M,de 30 até 40 anos,Conservas,755
Patsy Kono,00e410000016NxGAAU,PF,patsy.kono@bol.com.br,SAMS-46002,LOC-SAMS12078,Fortaleza,mai,M,acima de 50 anos,Infantil,560
Quincy Lapidus,00e410000016Nx8AAE,PJ,quincy.lapidus@pop.com.br,SAMS-59939,LOC-SAMS33718,Vitória,set,M,Abaixo de 30 anos,Limpeza,552
Lacie Brett,00e410000016NwjAAE,PJ,lacie.brett@folha.com.br,SAMS-40164,LOC-SAMS11911,São Bernardo do Campo,nov,M,de 30 até 40 anos,Conservas,762
Carletta Beute,00e410000016NwjAAE,PF,carletta.beute@r7.com,SAMS-46529,LOC-SAMS57235,Águas Claras,out,F,acima de 50 anos,Matinais,429
Milan Pulley,00e410000016NwWAAU,PF,milan.pulley@pop.com.br,SAMS-23129,LOC-SAMS47538,Maceió,set,F,acima de 50 anos,Matinais,564
Nyla Gritton,00e410000016NxGAAU,PF,nyla.gritton@yahoo.com.br,SAMS-2123,LOC-SAMS33557,Vitória,mar,F,acima de 50 anos,Matinais,474
Alvera Middough,00e410000016Nx8AAE,PF,alvera.middough@bol.com.br,SAMS-25351,LOC-SAMS42017,Linha Amarela,mai,M,acima de 50 anos,Matinais,724
Abe Bhagat,00e410000016Nx8AAE,PF,abe.bhagat@folha.com.br,SAMS-5643,LOC-SAMS22598,Linha Amarela,nov,M,acima de 50 anos,Matinais,502
Danuta Fumero,00e410000016NxGAAU,PJ,danuta.fumero@yahoo.com.br,SAMS-14925,LOC-SAMS60428,Santo Amaro,mar,F,Abaixo de 30 anos,Descartáveis,514
Sharonda Suriano,00e410000016Nx8AAE,PF,sharonda.suriano@gmail.com,SAMS-46816,LOC-SAMS39363,Águas Claras,jan,M,de 40 até 50 anos,Molhos e Temperos,768
